,doi,title,type,journal,date,citations,altmetric,authors,org_led,org_authors,genders,org_genders,first_gender,last_gender,female_authors,male_authors,nonbinary_authors,affiliations,countries
10,10.5194/essd-11-769-2019,Greenland Ice Sheet solid ice discharge from 1986 through 2017,Journal,Earth System Science Data,2019-06-06,23.0,52.33,"Kenneth D. Mankoff, William Colgan, Anne Solgaard, Nanna B. Karlsson, Andreas P. Ahlstrøm, Dirk Van As, Jason E. Box, Shfaqat Abbas Khan, Kristian K. Kjeldsen, Jeremie Mouginot, Robert S. Fausto",True,"Andreas Peter Ahlstrøm, William Colgan, Robert Schjøtt Fausto, Nanna Bjørnholt Karlsson, Anne Munck Solgaard, Kristian Kjellerup Kjeldsen, Jason E. Box, Kenneth David Mankoff","male, male, female, female, male, male, male, male, male, male, male","male, male, male, female, female, male, male, male",male,male,2.0,9.0,0.0,"Technical University of Denmark, Geological Survey of Denmark and Greenland, University of California, Irvine","United States, Denmark"
11,10.1007/s40641-018-0107-0,Rising Oceans Guaranteed: Arctic Land Ice Loss and Sea Level Rise,Journal,Current Climate Change Reports,2018-09-01,18.0,98.15,"Twila Moon, Andreas Ahlstrøm, Heiko Goelzer, William Lipscomb, Sophie Nowicki",False,Andreas Peter Ahlstrøm,"female, male, male, male, female",male,female,female,2.0,3.0,0.0,"NASA Goddard Space Flight Center, Institute for Marine and Atmospheric Research, Utrecht, University of Colorado Boulder, Université Libre de Bruxelles, National Center for Atmospheric Research, Geological Survey of Denmark and Greenland","United States, Belgium, Denmark, Netherlands"
12,10.1038/s41586-018-0179-y,Mass balance of the Antarctic Ice Sheet from 1992 to 2017,Journal,Nature,2018-06-14,363.0,3917.564,"Andrew Shepherd, Erik Ivins, Eric Rignot, Ben Smith, Michiel Van Den Broeke, Isabella Velicogna, Pippa Whitehouse, Kate Briggs, Ian Joughin, Gerhard Krinner, Sophie Nowicki, Tony Payne, Ted Scambos, Nicole Schlegel, A. Geruo, Cécile Agosta, Andreas Ahlstrøm, Greg Babonis, Valentina Barletta, Alejandro Blazquez, Jennifer Bonin, Beata Csatho, Richard Cullather, Denis Felikson, Xavier Fettweis, Rene Forsberg, Hubert Gallee, Alex Gardner, Lin Gilbert, Andreas Groh, Brian Gunter, Edward Hanna, Christopher Harig, Veit Helm, Alexander Horvath, Martin Horwath, Shfaqat Khan, Kristian K. Kjeldsen, Hannes Konrad, Peter Langen, Benoit Lecavalier, Bryant Loomis, Scott Luthcke, Malcolm McMillan, Daniele Melini, Sebastian Mernild, Yara Mohajerani, Philip Moore, Jeremie Mouginot, Gorka Moyano, Alan Muir, Thomas Nagler, Grace Nield, Johan Nilsson, Brice Noel, Ines Otosaka, Mark E. Pattle, W. Richard Peltier, Nadege Pie, Roelof Rietbroek, Helmut Rott, Louise Sandberg-Sørensen, Ingo Sasgen, Himanshu Save, Bernd Scheuchl, Ernst Schrama, Ludwig Schröder, Ki Weon Seo, Sebastian Simonsen, Tom Slater, Giorgio Spada, Tyler Sutterley, Matthieu Talpe, Lev Tarasov, Willem Jan Van De Berg, Wouter Van Der Wal, Melchior Van Wessem, Bramha Dutt Vishwakarma, David Wiese, Bert Wouters",False,"Kristian Kjellerup Kjeldsen, Andreas Peter Ahlstrøm","male, male, male, male, male, female, female, female, male, male, female, male, male, female, male, female, male, male, female, male, female, female, male, male, male, male, male, male, female, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, female, male, female, male, male, male, male, male, female, male, male, female, male, male, male, male, male, female, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male","male, male",male,male,15.0,65.0,0.0,"University of Leeds, Jet Propulsion Laboratory, Durham University, ENVEO IT GmbH, Institute for Marine and Atmospheric Research, Utrecht, IsardSAT, Technische Universität Dresden, UCL Mullard Space Science Laboratory, Université de Liège, Statens Naturhistoriske Museum, The University of Texas at Austin, Delft University of Technology, Istituto Nazionale Di Geofisica E Vulcanologia, Rome, University of California, Irvine, Nansen Environmental and Remote Sensing Center, Universidad de Magallanes, Seoul National University, Laboratory Studies in Geophysics and Oceanography Space, University at Buffalo, The State University of New York, Georgia Institute of Technology, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, Danmarks Meteorologiske Institut, Technical University of Denmark, Newcastle University, Universität Stuttgart, University of Lincoln, University of Colorado Boulder, Universite Grenoble Alpes, University of South Florida, Tampa, The University of Arizona, University of Washington, Memorial University of Newfoundland, NASA Goddard Space Flight Center, University of Toronto, Universität Bonn, University of Bristol, Technical University of Munich, Geological Survey of Denmark and Greenland, Universita degli Studi di Urbino Carlo Bo, Western Norway University of Applied Sciences","France, United States, Norway, Chile, Austria, South Korea, Canada, Belgium, Spain, Germany, Italy, United Kingdom, Denmark, Netherlands"
13,,The Greenland ice sheet – Snowline elevations at the end of the melt seasons from 2000 to 2017,Book Series,Geological Survey of Denmark and Greenland Bulletin,2018-01-01,3.0,,"Robert S. Fausto, Signe B. Andersen, Andreas P. Ahlstrøm, Dirk van As, Jason E. Box, Daniel Binder, Michele Citterio, William Colgan, Konstanze Haubner, Karina Hansen, Nanna B. Karlsson, Kenneth D. Mankoff, Allan Pedersen, Anne Solgaard, Baptiste Vandecrux",True,"Andreas Peter Ahlstrøm, Robert Schjøtt Fausto, William Colgan, Nanna Bjørnholt Karlsson, Kenneth David Mankoff, Baptiste Vandecrux, Anne Munck Solgaard, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, female, male, male, male, male, male, male, female, female, female, male, male, female, male","male, male, male, female, male, male, female, female, male, male",male,male,5.0,10.0,0.0,Geological Survey of Denmark and Greenland,Denmark
14,10.1080/15230430.2018.1433799,Reconstructing Greenland Ice Sheet meltwater discharge through the Watson River (1949–2017),Journal,"Arctic, Antarctic, and Alpine Research",2018-01-01,18.0,10.2,"Dirk van As, Bent Hasholt, Andreas P. Ahlstrøm, Jason E. Box, John Cappelen, William Colgan, Robert S. Fausto, Sebastian H. Mernild, Andreas Bech Mikkelsen, Brice P.Y. Noël, Dorthe Petersen, Michiel R. van den Broeke",False,"William Colgan, Andreas Peter Ahlstrøm, Jason E. Box, Robert Schjøtt Fausto","male, male, male, male, male, male, male, male, male, male, female, male","male, male, male, male",male,male,1.0,11.0,0.0,"Institute for Marine and Atmospheric Research, Utrecht, Danmarks Meteorologiske Institut, Københavns Universitet, Asiaq, Geological Survey of Denmark and Greenland, Nansen Environmental and Remote Sensing Center, Universidad de Magallanes, Western Norway University of Applied Sciences","Norway, Chile, Denmark, Netherlands, Greenland"
15,10.1126/sciadv.1701169,Abrupt shift in the observed runoff from the southwestern Greenland ice sheet,Journal,Science Advances,2017-12-01,20.0,74.75,"Andreas P. Ahlstrøm, Dorthe Petersen, Peter L. Langen, Michele Citterio, Jason E. Box",True,"Andreas Peter Ahlstrøm, Michele Citterio, Jason E. Box","male, female, male, male, male","male, male, male",male,male,1.0,4.0,0.0,"Geological Survey of Denmark and Greenland, Danmarks Meteorologiske Institut, Asiaq Greenland Survey","Denmark, Greenland"
16,10.1002/2017GL075958,Algae Drive Enhanced Darkening of Bare Ice on the Greenland Ice Sheet,Journal,Geophysical Research Letters,2017-11-28,59.0,224.936,"Marek Stibal, Jason E. Box, Karen A. Cameron, Peter L. Langen, Marian L. Yallop, Ruth H. Mottram, Alia L. Khan, Noah P. Molotch, Nathan A.M. Chrismas, Filippo Calì Quaglia, Daniel Remias, C. J.P.Paul Smeets, Michiel R. van den Broeke, Jonathan C. Ryan, Alun Hubbard, Martyn Tranter, Dirk van As, Andreas P. Ahlstrøm",False,"Andreas Peter Ahlstrøm, Jason E. Box","male, male, female, male, male, female, female, male, male, male, male, male, male, male, male, male, male, male","male, male",male,male,3.0,15.0,0.0,"Cooperative Institute for Research in Environmental Sciences, University of Applied Sciences Upper Austria, School of Engineering, Università degli Studi di Torino, Jet Propulsion Laboratory, Institute for Marine and Atmospheric Research, Utrecht, University of Colorado Boulder, Danmarks Meteorologiske Institut, Aberystwyth University, Institute of Biological, Environmental and Rural Sciences, University of Bristol, Geological Survey of Denmark and Greenland, Charles University","United States, Austria, Czech Republic, Italy, United Kingdom, Denmark, Netherlands"
17,10.34194/geusb.v38.4414,"Greenland, Canadian and Icelandic land-ice albedo grids (2000–2016)",Book Series,Geological Survey of Denmark and Greenland Bulletin,2017-01-01,21.0,,"Jason E. Box, Dirk van As, Konrad Steffen, Robert S. Fausto, Andreas P. AhlstrØm, Michele Citterio, Signe B. Andersen",True,"Robert Schjøtt Fausto, Michele Citterio, Signe Bech Andersen, Jason E. Box","male, male, male, male, male, male, female","male, male, female, male",male,female,1.0,6.0,0.0,"Geological Survey of Denmark and Greenland, Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft WSL","Denmark, Switzerland"
18,10.1017/jog.2016.75,Greenland surface mass-balance observations from the ice-sheet ablation area and local glaciers,Journal,Journal of Glaciology,2016-10-01,46.0,17.28,"Horst Machguth, Henrik H. Thomsen, Anker Weidick, Andreas P. Ahlstrøm, Jakob Abermann, Morten L. Andersen, Signe B. Andersen, Anders A. Bjørk, Jason E. Box, Roger J. Braithwaite, Carl E. Bøggild, Michele Citterio, Poul Clement, William Colgan, Robert S. Fausto, Karin Gleie, Stefanie Gubler, Bent Hasholt, Bernhard Hynek, Niels T. Knudsen, Signe H. Larsen, Sebastian H. Mernild, Johannes Oerlemans, Hans Oerter, Ole B. Olesen, C. J.P.Paul Smeets, Konrad Steffen, Manfred Stober, Shin Sugiyama, Dirk Van As, Michiel R. Van Den Broeke, Roderik S.W. Van De Wal",False,"William Colgan, Andreas Peter Ahlstrøm, Robert Schjøtt Fausto, Signe Hillerup Larsen, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, male, male, male, male, male, female, male, male, male, male, male, male, male, male, female, female, male, male, male, female, male, male, male, male, male, male, male, male, male, male, male","male, male, male, female, female, male, male",male,male,4.0,28.0,0.0,"Hokkaido University, The University of Manchester, Federal Office of Meteorology and Climatology MeteoSwiss, University of Zurich, Institute for Marine and Atmospheric Research, Utrecht, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, Københavns Universitet, Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft WSL, Central Institute for Meteorology and Geodynamics, Vienna, Technical University of Denmark, Asiaq, Statens Naturhistoriske Museum, Aarhus Universitet, Fjordane University College, York University, Geological Survey of Denmark and Greenland, Hochschule für Technik Stuttgart, Universidad de Magallanes","Norway, Chile, Austria, Switzerland, Japan, Germany, Canada, United Kingdom, Denmark, Netherlands, Greenland"
19,10.1002/2015JF003507,"Increased mass loss and asynchronous behavior of marine-terminating outlet glaciers at Upernavik Isstrøm, NW Greenland",Journal,Journal of Geophysical Research: Earth Surface,2016-02-01,15.0,,"Signe Hillerup Larsen, Shfaqat Abbas Khan, Andreas Peter Ahlstrøm, Christine Schøtt Hvidberg, Michael John Willis, Signe Bech Andersen",True,"Andreas Peter Ahlstrøm, Signe Hillerup Larsen, Signe Bech Andersen","female, male, male, female, male, female","male, female, female",female,female,3.0,3.0,0.0,"Cornell University, Niels Bohr Institutet, Technical University of Denmark, The University of North Carolina at Chapel Hill, Geological Survey of Denmark and Greenland","United States, Denmark"
20,,Placing Greenland ice sheet ablation measurements in a multi-decadal context,Book Series,Geological Survey of Denmark and Greenland Bulletin,2016-01-01,18.0,,"Dirk Van As, Robert S. Fausto, John Cappelen, Roderik S.W. Van De Wal, Roger J. Braithwaite, Horst Machguth, Charalampos Charalampidis, Jason E. Box, Anne M. Solgaard, Andreas P. Ahlstrom, Konstanze Haubner, Michele Citterio, Signe B. Andersen",False,"Robert Schjøtt Fausto, Anne Munck Solgaard, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, male, male, male, male, male, male, male, female, male, female, male, female","male, female, female, male, male",male,female,3.0,10.0,0.0,"University of Zurich, Institute for Marine and Atmospheric Research, Utrecht, Danmarks Meteorologiske Institut, Statens Naturhistoriske Museum, Geological Survey of Denmark and Greenland, The University of Manchester","United Kingdom, Denmark, Netherlands, Switzerland"
21,,Greenland ice sheet melt area from MODIS (2000–2014),Book Series,Geological Survey of Denmark and Greenland Bulletin,2015-07-15,5.0,,"Robert S. Fausto, Dirk Van As, Jens A. Antoft, Jason E. Box, William Colgan, Andreas P. Ahlstrøm, Signe B. Andersen, Morten L. Andersen, Charalampos Charalampidis, Michele Citterio, Karen Edelvang, Trine S. Jensen, Signe H. Larsen, Horst Machguth, Søren Nielsen, Martin Veicherts, Anker Weidick",True,"William Colgan, Robert Schjøtt Fausto, Andreas Peter Ahlstrøm, Signe Hillerup Larsen, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, male, male, male, male, male, female, male, male, male, female, female, female, male, male, male, male","male, male, male, female, female, male, male",male,male,4.0,13.0,0.0,Geological Survey of Denmark and Greenland,Denmark
22,,Automatic weather stations for basic and applied glaciological research,Book Series,Geological Survey of Denmark and Greenland Bulletin,2015-07-15,15.0,,"Michele Citterio, Dirk Van As, Andreas P. Ahlstrøm, Morten L. Andersen, Signe B. Andersen, Jason E. Box, Charalampos Charalampidis, William T. Colgan, Robert S. Fausto, Søren Nielsen, Martin Veicherts",True,"William Colgan, Andreas Peter Ahlstrøm, Robert Schjøtt Fausto, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, male, male, male, female, male, male, male, male, male, male","male, male, male, female, male, male",male,male,1.0,10.0,0.0,Geological Survey of Denmark and Greenland,Denmark
23,10.3189/2015JoG15J017,Historically unprecedented global glacier decline in the early 21st century,Journal,Journal of Glaciology,2015-01-01,361.0,437.6,"Michael Zemp, Holger Frey, Isabelle Gärtner-Roer, Samuel U. Nussbaumer, Martin Hoelzle, Frank Paul, Wilfried Haeberli, Florian Denzinger, Andreas P. Ahlstrøm, Brian Anderson, Samjwal Bajracharya, Carlo Baroni, Ludwig N. Braun, Bolívar E. Càceres, Gino Casassa, Guillermo Cobos, Luzmila R. Dàvila, Hugo Delgado Granados, Michael N. Demuth, Lydia Espizua, Andrea Fischer, Koji Fujita, Bogdan Gadek, Ali Ghazanfar, Jon Ove Hagen, Per Holmlund, Neamat Karimi, Zhongqin Li, Mauri Pelto, Pierre Pitte, Victor V. Popovnin, Cesar A. Portocarrero, Rainer Prinz, Chandrashekhar V. Sangewar, Igor Severskiy, Oddur Sigurdsson, Alvaro Soruco, Ryskul Usubaliev, Christian Vincent",False,Andreas Peter Ahlstrøm,"male, male, female, male, male, male, male, male, male, male, male, male, male, male, male, male, female, male, male, female, female, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male",male,male,male,4.0,35.0,0.0,"Lomonosov Moscow State University, Cold and Arid Regions Environmental and Engineering Research Institute Chinese Academy of Sciences, Universität Innsbruck, Bavarian Academy of Sciences and Humanities (Bayerische Akademie der Wissenschaften), Instituto Argentino de Nivologia, Glaciologia y Ciencias Ambientales, Nagoya University, Institute of Geography of the Republic of Kazakhstan, Autoridad Nacional del Agua, Institut des Géosciences de l'Environnement (IGE), Stockholms universitet, Università di Pisa, Universidad Nacional Autónoma de México, Universidad de Magallanes, Central Asian Institute for Applied Geosciences, Universitetet i Oslo, Natural Resources Canada, Survey of, Celandic Meteorological Office, University of Silesia in Katowice, Nichols College, University of Zurich, Victoria University of Wellington, Osterreichische Akademie Der Wissenschaften, University of Fribourg, Ingeniería 75, S.A., International Centre for Integrated Mountain Development Nepal, Universidad Mayor de San Andres Bolivia, Instituto Nacional de Meteorología e Hidrología, Geological Survey of Denmark and Greenland, Ministry of Science, Research and Technology Islamic Republic of Iran, Global Change Impact Studies Centre","Iran, China, Kazakhstan, Switzerland, Argentina, Russian Federation, Germany, Mexico, France, Sweden, India, Chile, Spain, Japan, Poland, Peru, Italy, New Zealand, Nepal, Norway, Pakistan, Canada, Denmark, United States, Austria, Iceland, Ecuador, Kyrgyzstan, Bolivia"
24,10.1175/JCLI-D-14-00271.1,Quantifying energy and mass fluxes controlling Godthåbsfjord freshwater input in a 5-km simulation (1991-2012),Journal,Journal of Climate,2015-01-01,48.0,11.554,"Peter L. Langen, R. H. Mottram, J. H. Christensen, F. Boberg, C. B. Rodehacke, M. Stendel, D. van As, A. P. Ahlstrøm, J. Mortensen, S. Rysgaard, D. Petersen, K. H. Svendsen, G. Adalgeirsdóttir, J. Cappelen",False,Andreas Peter Ahlstrøm,"male, female, male, male, male, male, male, male, male, male, female, male, female, male",male,male,male,3.0,11.0,0.0,"Greenland Institute of Natural Resources, Haskoli Islands, University of Manitoba, Danmarks Meteorologiske Institut, Asiaq, Aarhus Universitet, Geological Survey of Denmark and Greenland","Canada, Iceland, Denmark, Greenland"
