,doi,title,type,journal,date,citations,altmetric,authors,org_led,org_authors,genders,org_genders,first_gender,last_gender,female_authors,male_authors,nonbinary_authors,affiliations,countries
0,10.5194/essd-13-3819-2021,Programme for Monitoring of the Greenland Ice Sheet (PROMICE) automatic weather station data,Journal,Earth System Science Data,2021-08-06,0.0,5.45,"Robert S. Fausto, Dirk Van As, Kenneth D. Mankoff, Baptiste Vandecrux, Michele Citterio, Andreas P. Ahlstrøm, Signe B. Andersen, William Colgan, Nanna B. Karlsson, Kristian K. Kjeldsen, Niels J. Korsgaard, Signe H. Larsen, Søren Nielsen, Allan Pedersen, Christopher L. Shields, Anne M. Solgaard, Jason E. Box",True,"Robert Schjøtt Fausto, Michele Citterio, Andreas Peter Ahlstrøm, William Colgan, Signe Hillerup Larsen, Nanna Bjørnholt Karlsson, Niels Jakup Korsgaard, Kenneth David Mankoff, Kristian Kjellerup Kjeldsen, Anne Munck Solgaard, Signe Bech Andersen, Jason E. Box, Baptiste Vandecrux","male, male, male, male, male, male, female, male, female, male, male, female, male, male, male, female, male","male, male, male, male, female, female, male, male, male, female, female, male, male",male,male,4.0,13.0,0.0,Geological Survey of Denmark and Greenland,Denmark
1,10.5194/essd-13-3491-2021,Greenland ice velocity maps from the PROMICE project,Journal,Earth System Science Data,2021-07-19,2.0,1.5,"Anne Solgaard, Anders Kusk, John Peter Merryman Boncori, Jørgen Dall, Kenneth D. Mankoff, Andreas P. Ahlstrøm, Signe B. Andersen, Michele Citterio, Nanna B. Karlsson, Kristian K. Kjeldsen, Niels J. Korsgaard, Signe H. Larsen, Robert S. Fausto",True,"Andreas Peter Ahlstrøm, Signe Hillerup Larsen, Robert Schjøtt Fausto, Nanna Bjørnholt Karlsson, Niels Jakup Korsgaard, Kenneth David Mankoff, Anne Munck Solgaard, Kristian Kjellerup Kjeldsen, Signe Bech Andersen, Michele Citterio","female, male, male, male, male, male, female, male, female, male, male, female, male","male, female, male, female, male, male, female, male, female, male",female,male,4.0,9.0,0.0,"Technical University of Denmark, Geological Survey of Denmark and Greenland",Denmark
2,10.1017/jog.2021.74,Helheim Glacier diurnal velocity fluctuations driven by surface melt forcing,Journal,Journal of Glaciology,2021-01-01,0.0,3.95,"Laura A. Stevens, Meredith Nettles, James L. Davis, Timothy T. Creyts, Jonathan Kingslake, Andreas P. Ahlstrøm, Tine B. Larsen",False,Andreas Peter Ahlstrøm,"female, female, male, male, male, male, female",male,female,female,3.0,4.0,0.0,"Geological Survey of Denmark and Greenland, Lamont-Doherty Earth Observatory, University of Oxford","United States, Denmark, United Kingdom"
3,10.5194/essd-12-2811-2020,Greenland liquid water discharge from 1958 through 2019,Journal,Earth System Science Data,2020-11-14,8.0,54.13,"Kenneth D. Mankoff, Brice Noël, Xavier Fettweis, Andreas P. Ahlstrøm, William Colgan, Ken Kondo, Kirsty Langley, Shin Sugiyama, Dirk Van As, Robert S. Fausto",True,"William Colgan, Andreas Peter Ahlstrøm, Kenneth David Mankoff, Robert Schjøtt Fausto","male, male, male, male, male, male, female, male, male, male","male, male, male, male",male,male,1.0,9.0,0.0,"Institute for Marine and Atmospheric Research, Utrecht, Asiaq Greenland Survey, Université de Liège, Hokkaido University, Geological Survey of Denmark and Greenland","Belgium, Japan, Denmark, Netherlands, Greenland"
4,10.1080/00139157.2020.1791627,Ending a Sea of Confusion: Insights and Opportunities in Sea-Level Change Communication,Journal,Environment,2020-09-02,1.0,23.75,"Twila Moon, Ted Scambos, Waleed Abdalati, Andreas P. Ahlstrøm, Robert Bindschadler, Jill Gambill, Patrick Heimbach, Regine Hock, Kirsty Langley, Ian Miller, Martin Truffer",False,Andreas Peter Ahlstrøm,"female, male, male, male, male, female, male, female, female, male, male",male,female,male,4.0,7.0,0.0,"NASA Goddard Space Flight Center, University of Georgia, University of Alaska Fairbanks, University of Colorado Boulder, Jackson School of Geosciences, Asiaq-Greenland Survey, University of Washington",United States
5,10.3389/feart.2020.00251,"Annual Surface Mass Balance Records (2009–2019) From an Automatic Weather Station on Mittivakkat Glacier, SE Greenland",Journal,Frontiers in Earth Science,2020-07-14,0.0,1.1,"Robert S. Fausto, Jakob Abermann, Andreas P. Ahlstrøm",True,"Andreas Peter Ahlstrøm, Robert Schjøtt Fausto","male, male, male","male, male",male,male,0.0,3.0,0.0,"Geological Survey of Denmark and Greenland, Universitat Graz","Denmark, Austria"
6,10.5194/essd-12-1367-2020,Greenland Ice Sheet solid ice discharge from 1986 through March 2020,Journal,Earth System Science Data,2020-06-19,12.0,28.08,"Kenneth D. Mankoff, Anne Solgaard, William Colgan, Andreas P. Ahlstrøm, Shfaqat Abbas Khan, Robert S. Fausto",True,"William Colgan, Robert Schjøtt Fausto, Andreas Peter Ahlstrøm, Anne Munck Solgaard, Kenneth David Mankoff","male, female, male, male, male, male","male, male, male, female, male",male,male,1.0,5.0,0.0,"Technical University of Denmark, Geological Survey of Denmark and Greenland",Denmark
7,10.1038/s41586-019-1855-2,Mass balance of the Greenland Ice Sheet from 1992 to 2018,Journal,Nature,2020-03-12,136.0,2457.05,"Andrew Shepherd, Erik Ivins, Eric Rignot, Ben Smith, Michiel van den Broeke, Isabella Velicogna, Pippa Whitehouse, Kate Briggs, Ian Joughin, Gerhard Krinner, Sophie Nowicki, Tony Payne, Ted Scambos, Nicole Schlegel, Geruo A, Cécile Agosta, Andreas Ahlstrøm, Greg Babonis, Valentina R. Barletta, Anders A. Bjørk, Alejandro Blazquez, Jennifer Bonin, William Colgan, Beata Csatho, Richard Cullather, Marcus E. Engdahl, Denis Felikson, Xavier Fettweis, Rene Forsberg, Anna E. Hogg, Hubert Gallee, Alex Gardner, Lin Gilbert, Noel Gourmelen, Andreas Groh, Brian Gunter, Edward Hanna, Christopher Harig, Veit Helm, Alexander Horvath, Martin Horwath, Shfaqat Khan, Kristian K. Kjeldsen, Hannes Konrad, Peter L. Langen, Benoit Lecavalier, Bryant Loomis, Scott Luthcke, Malcolm McMillan, Daniele Melini, Sebastian Mernild, Yara Mohajerani, Philip Moore, Ruth Mottram, Jeremie Mouginot, Gorka Moyano, Alan Muir, Thomas Nagler, Grace Nield, Johan Nilsson, Brice Noël, Ines Otosaka, Mark E. Pattle, W. Richard Peltier, Nadège Pie, Roelof Rietbroek, Helmut Rott, Louise Sandberg Sørensen, Ingo Sasgen, Himanshu Save, Bernd Scheuchl, Ernst Schrama, Ludwig Schröder, Ki Weon Seo, Sebastian B. Simonsen, Thomas Slater, Giorgio Spada, Tyler Sutterley, Matthieu Talpe, Lev Tarasov, Willem Jan van de Berg, Wouter van der Wal, Melchior van Wessem, Bramha Dutt Vishwakarma, David Wiese, David Wilton, Thomas Wagner, Bert Wouters, Jan Wuite",False,"Kristian Kjellerup Kjeldsen, Andreas Peter Ahlstrøm, William Colgan","male, male, male, male, male, female, female, female, male, male, female, male, male, female, male, female, male, male, female, male, male, female, male, female, male, male, male, male, male, female, male, male, female, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, female, male, female, male, female, male, male, male, male, female, male, male, female, male, male, female, male, male, female, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male, male","male, male, male",male,male,18.0,71.0,0.0,"University of Leeds, Jet Propulsion Laboratory, Durham University, ENVEO IT GmbH, Institute for Marine and Atmospheric Research, Utrecht, Technische Universität Dresden, UCL Mullard Space Science Laboratory, Université de Liège, Lancaster Environment Centre, The University of Texas at Austin, Delft University of Technology, Istituto Nazionale Di Geofisica E Vulcanologia, Rome, The University of Edinburgh, Nansen Environmental and Remote Sensing Center, University of California, Irvine, Universidad de Magallanes, Seoul National University, Université Fédérale Toulouse Midi-Pyrénées, University at Buffalo, The State University of New York, Georgia Institute of Technology, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, Københavns Universitet, Danmarks Meteorologiske Institut, Technical University of Denmark, Newcastle University, ESRIN - ESA Centre for Earth Observation, Deutscher Wetterdienst, Universität Stuttgart, University of Lincoln, University of Colorado Boulder, Western Norway University of Applied Sciences, Universite Grenoble Alpes, University of South Florida, Tampa, The University of Arizona, University of Washington, Memorial University of Newfoundland, NASA Goddard Space Flight Center, University of Toronto, Universität Bonn, Universitetet i Bergen, University of Bristol, Technical University of Munich, Geological Survey of Denmark and Greenland, National Aeronautics and Space Administration, Universita degli Studi di Urbino Carlo Bo, IsardSAT, The University of Sheffield","France, United States, Norway, Chile, Austria, South Korea, Canada, Belgium, Spain, Germany, Italy, United Kingdom, Denmark, Netherlands"
8,10.34194/GEUSB-201943-02-01,Greenland ice sheet mass balance assessed by PROMICE (1995-2015),Book Series,Geological Survey of Denmark and Greenland Bulletin,2019-07-01,5.0,52.9,"William Colgan, Kenneth D. Mankoff, Kristian K. Kjeldsen, Anders A. Bjørk, Jason E. Box, Sebastian B. Simonsen, Louise S. Sørensen, S. Abbas Khan, Anne M. Solgaard, Rene Forsberg, Henriette Skourup, Lars Stenseng, Steen S. Kristensen, Sine M. Hvidegaard, Michele Citterio, Nanna Karlsson, Xavier Fettweis, Andreas P. Ahlstrøm, Signe B. Andersen, Dirk Van As, Robert S. Fausto",True,"William Colgan, Michele Citterio, Andreas Peter Ahlstrøm, Robert Schjøtt Fausto, Nanna Bjørnholt Karlsson, Kristian Kjellerup Kjeldsen, Anne Munck Solgaard, Jason E. Box, Signe Bech Andersen, Kenneth David Mankoff","male, male, male, male, male, male, female, male, female, male, female, male, male, female, male, female, male, male, female, male, male","male, male, male, male, female, male, female, male, female, male",male,male,6.0,15.0,0.0,"Technical University of Denmark, Geological Survey of Denmark and Greenland, Statens Naturhistoriske Museum, Université de Liège","Belgium, Denmark"
9,10.34194/GEUSB-201943-02-02,Update of annual calving front lines for 47 marine terminating outlet glaciers in Greenland (1999-2018),Book Series,Geological Survey of Denmark and Greenland Bulletin,2019-07-01,7.0,51.4,"Jonas K. Andersen, Robert S. Fausto, Karina Hansen, Jason E. Box, Signe B. Andersen, Andreas P. Ahlstrøm, Dirk van As, Michele Citterio, William Colgan, Nanna B. Karlsson, Kristian K. Kjeldsen, Niels J. Korsgaard, Signe H. Larsen, Kenneth D. Mankoff, Allan Pedersen, Christopher L. Shields, Anne Solgaard, Baptiste Vandecrux",False,"Andreas Peter Ahlstrøm, Robert Schjøtt Fausto, William Colgan, Signe Hillerup Larsen, Nanna Bjørnholt Karlsson, Niels Jakup Korsgaard, Kenneth David Mankoff, Baptiste Vandecrux, Kristian Kjellerup Kjeldsen, Anne Munck Solgaard, Signe Bech Andersen, Jason E. Box, Michele Citterio","male, male, female, male, female, male, male, male, male, female, male, male, female, male, male, male, female, male","male, male, male, female, female, male, male, male, male, female, female, male, male",male,male,5.0,13.0,0.0,Geological Survey of Denmark and Greenland,Denmark
