,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
0,Penelope How,,female,,,,P. How,P. How,Penelope How,Penelope How,,
1,Alexandra Messerli,,female,,,,A. Messerli,A. Messerli,Alexandra Messerli,Alexandra Messerli,,
2,Eva Mätzler,,female,,,,E. Mätzler,E. Mätzler,Eva Mätzler,Eva Mätzler,,
3,Maurizio Santoro,,male,,,,M. Santoro,M. Santoro,Maurizio Santoro,Maurizio Santoro,,
4,Andreas Wiesmann,,male,,,,A. Wiesmann,A. Wiesmann,Andreas Wiesmann,Andreas Wiesmann,,
5,Rafael Caduff,,male,,,,R. Caduff,R. Caduff,Rafael Caduff,Rafael Caduff,,
6,Kirsty Langley,,female,,,,K. Langley,K. Langley,Kirsty Langley,Kirsty Langley,,
7,Mikkel Høegh Bojesen,,male,,,,M. H. Bojesen,M. Bojesen,Mikkel H. Bojesen,Mikkel Bojesen,,
8,Frank Paul,,male,,,,F. Paul,F. Paul,Frank Paul,Frank Paul,,
9,Andreas Kääb,,male,,,,A. Kääb,A. Kääb,Andreas Kääb,Andreas Kääb,,
10,Jonathan L. Carrivick,,male,,,,J. L. Carrivick,J. Carrivick,Jonathan L. Carrivick,Jonathan Carrivick,,
11,Nicholas R.J. Hulton,,male,,,,N. R. Hulton,N. Hulton,Nicholas R. Hulton,Nicholas Hulton,,
12,Lynne Buie,,female,,,,L. Buie,L. Buie,Lynne Buie,Lynne Buie,,
13,Douglas I. Benn,,male,,,,D. I. Benn,D. Benn,Douglas I. Benn,Douglas Benn,,
14,Kristin M. Schild,,female,,,,K. M. Schild,K. Schild,Kristin M. Schild,Kristin Schild,,
15,Riko Noormets,,male,,,,R. Noormets,R. Noormets,Riko Noormets,Riko Noormets,,
16,Nina Kirchner,,female,,,,N. Kirchner,N. Kirchner,Nina Kirchner,Nina Kirchner,,
17,Adrian Luckman,,male,,,,A. Luckman,A. Luckman,Adrian Luckman,Adrian Luckman,,
18,Dorothée Vallot,,female,,,,D. Vallot,D. Vallot,Dorothée Vallot,Dorothée Vallot,,
19,Chris Borstad,,male,,,,C. Borstad,C. Borstad,Chris Borstad,Chris Borstad,,
20,Sigit Adinugroho,,male,,,,S. Adinugroho,S. Adinugroho,Sigit Adinugroho,Sigit Adinugroho,,
21,Robin Strand,,male,,,,R. Strand,R. Strand,Robin Strand,Robin Strand,,
22,Rickard Pettersson,,male,,,,R. Pettersson,R. Pettersson,Rickard Pettersson,Rickard Pettersson,,
23,C. E. Renshaw,,male,,,,C. E. Renshaw,C. Renshaw,C. E. Renshaw,C. Renshaw,,
24,R. L. Hawley,,male,,,,R. L. Hawley,R. Hawley,R. L. Hawley,R. Hawley,,
25,L. Trusel,,male,,,,L. Trusel,L. Trusel,L. Trusel,L. Trusel,,
26,F. R. Cottier,,male,,,,F. R. Cottier,F. Cottier,F. R. Cottier,F. Cottier,,
27,A. Pramanik,,male,,,,A. Pramanik,A. Pramanik,A. Pramanik,A. Pramanik,,
28,N. R.J. Hulton,,male,,,,N. R. Hulton,N. Hulton,N. R. Hulton,N. Hulton,,
29,Bryn Hubbard,,male,,,,B. Hubbard,B. Hubbard,Bryn Hubbard,Bryn Hubbard,,
30,Heïdi Sevestre,,female,,,,H. Sevestre,H. Sevestre,Heïdi Sevestre,Heïdi Sevestre,,
31,Ward J.J.Van Pelt,,male,,,,W. J. Pelt,W. Pelt,Ward J. Pelt,Ward Pelt,,
32,Katrin Lindbäck,,female,,,,K. Lindbäck,K. Lindbäck,Katrin Lindbäck,Katrin Lindbäck,,
33,Jack Kohler,,male,,,,J. Kohler,J. Kohler,Jack Kohler,Jack Kohler,,
34,Wim Boot,,male,,,,W. Boot,W. Boot,Wim Boot,Wim Boot,,
35,Mike R. James,,male,,,,M. R. James,M. James,Mike R. James,Mike James,,
36,Peter M. Wynn,,male,,,,P. M. Wynn,P. Wynn,Peter M. Wynn,Peter Wynn,,
37,C. Ian Schipper,,male,,,,C. I. Schipper,C. Schipper,C. I. Schipper,C. Schipper,,
38,Jonathan M. Castro,,male,,,,J. M. Castro,J. Castro,Jonathan M. Castro,Jonathan Castro,,
39,Hugh Tuffen,,male,,,,H. Tuffen,H. Tuffen,Hugh Tuffen,Hugh Tuffen,,
