,doi,title,type,journal,date,citations,altmetric,authors,org_led,org_authors,genders,first_gender,last_gender,female_authors,male_authors,nonbinary_authors
0,10.1038/s41598-021-83509-1,Greenland-wide inventory of ice marginal lakes using a multi-method approach,Journal,Scientific Reports,2021-12-01,1.0,41.7,"Penelope How, Alexandra Messerli, Eva Mätzler, Maurizio Santoro, Andreas Wiesmann, Rafael Caduff, Kirsty Langley, Mikkel Høegh Bojesen, Frank Paul, Andreas Kääb, Jonathan L. Carrivick",True,Penelope How,"female, female, female, male, male, male, female, male, male, male, male",female,male,4.0,7.0,0.0
1,10.3389/feart.2020.00021,PyTrx: A Python-Based Monoscopic Terrestrial Photogrammetry Toolset for Glaciology,Journal,Frontiers in Earth Science,2020-02-13,3.0,19.3,"Penelope How, Nicholas R.J. Hulton, Lynne Buie, Douglas I. Benn",True,Penelope How,"female, male, female, male",female,male,2.0,2.0,0.0
2,10.1017/aog.2018.28,Calving controlled by melt-under-cutting: Detailed calving styles revealed through time-lapse observations,Journal,Annals of Glaciology,2019-04-01,24.0,19.2,"Penelope How, Kristin M. Schild, Douglas I. Benn, Riko Noormets, Nina Kirchner, Adrian Luckman, Dorothée Vallot, Nicholas R.J. Hulton, Chris Borstad",True,Penelope How,"female, female, male, male, female, male, female, male, male",female,male,4.0,5.0,0.0
3,10.5194/gi-8-113-2019,"Automatic detection of calving events from time-lapse imagery at Tunabreen, Svalbard",Journal,"Geoscientific Instrumentation, Methods and Data Systems",2019-03-29,6.0,,"Dorothée Vallot, Sigit Adinugroho, Robin Strand, Penelope How, Rickard Pettersson, Douglas I. Benn, Nicholas R.J. Hulton",False,Penelope How,"female, male, male, female, male, male, male",female,male,2.0,5.0,0.0
4,10.1029/2017JF004520,"Glacier Calving Rates Due to Subglacial Discharge, Fjord Circulation, and Free Convection",Journal,Journal of Geophysical Research: Earth Surface,2018-09-01,14.0,12.25,"K. M. Schild, C. E. Renshaw, D. I. Benn, A. Luckman, R. L. Hawley, P. How, L. Trusel, F. R. Cottier, A. Pramanik, N. R.J. Hulton",False,Penelope How,"female, male, male, male, male, female, male, male, male, male",female,male,2.0,8.0,0.0
5,10.5194/tc-11-2691-2017,"Rapidly changing subglacial hydrological pathways at a tidewater glacier revealed through simultaneous observations of water pressure, supraglacial lakes, meltwater plumes and surface velocities",Journal,Cryosphere,2017-11-21,29.0,10.5,"Penelope How, Douglas I. Benn, Nicholas R.J. Hulton, Bryn Hubbard, Adrian Luckman, Heïdi Sevestre, Ward J.J.Van Pelt, Katrin Lindbäck, Jack Kohler, Wim Boot",True,Penelope How,"female, male, male, male, male, female, male, female, male, male",female,male,3.0,7.0,0.0
6,10.1017/jog.2016.27,Pointcatcher software: Analysis of glacial time-lapse photography and integration with multitemporal digital elevation models,Journal,Journal of Glaciology,2016-02-01,16.0,,"Mike R. James, Penelope How, Peter M. Wynn",False,Penelope How,"male, female, male",male,male,1.0,2.0,0.0
7,10.1016/j.jvolgeores.2013.06.005,"Shallow vent architecture during hybrid explosive-effusive activity at Cordón Caulle (Chile, 2011-12): Evidence from direct observations and pyroclast textures",Journal,Journal of Volcanology and Geothermal Research,2013-07-15,91.0,7.55,"C. Ian Schipper, Jonathan M. Castro, Hugh Tuffen, Mike R. James, Penelope How",False,Penelope How,"male, male, male, male, female",male,female,1.0,4.0,0.0
8,,Dynamical change at tidewater glaciers examined using time-lapse photogrammetry,Publication,,2018-01-01,,,Penelope How,True,Penelope How,female,female,,1.0,0.0,0.0
