,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
0,Andreas Peter Ahlstrøm,Chefkonsulent,male,,,,A. P. Ahlstrøm,A. Ahlstrøm,Andreas P. Ahlstrøm,Andreas Ahlstrøm,,
1,Signe Bech Andersen,Statsgeolog,female,,,,S. B. Andersen,S. Andersen,Signe B. Andersen,Signe Andersen,,
2,Camilla Snowman Andresen,Seniorforsker,female,,,,C. S. Andresen,C. Andresen,Camilla S. Andresen,Camilla Andresen,,
3,Jason E. Box,Forskningsprofessor,male,,,,J. E. Box,J. Box,Jason E. Box,Jason Box,,
4,Michele Citterio,Seniorforsker,male,,,,M. Citterio,M. Citterio,Michele Citterio,Michele Citterio,,
5,William Colgan,Seniorforsker,male,,,,W. Colgan,W. Colgan,William Colgan,William Colgan,,
6,Robert Schjøtt Fausto,Seniorforsker,male,,,,R. S. Fausto,R. Fausto,Robert S. Fausto,Robert Fausto,,
7,Penelope Ruth How,AC-medarbejder,female,,,,P. R. How,P. How,Penelope R. How,Penelope How,,
8,Nanna Bjørnholt Karlsson,Seniorforsker,female,,,,N. B. Karlsson,N. Karlsson,Nanna B. Karlsson,Nanna Karlsson,,
9,Kristian Kjellerup Kjeldsen,Forsker,male,,,,K. K. Kjeldsen,K. Kjeldsen,Kristian K. Kjeldsen,Kristian Kjeldsen,,
10,Niels Jakup Korsgaard,Forsker,male,,,,N. J. Korsgaard,N. Korsgaard,Niels J. Korsgaard,Niels Korsgaard,,
11,Anna Bang Kvorning,Ph.d.-studerende,female,,,,A. B. Kvorning,A. Kvorning,Anna B. Kvorning,Anna Kvorning,,
12,Signe Hillerup Larsen,Forsker,female,,,,S. H. Larsen,S. Larsen,Signe H. Larsen,Signe Larsen,,
13,Anja Løkkegaard,Ph.d.-studerende,female,,,,A. Løkkegaard,A. Løkkegaard,Anja Løkkegaard,Anja Løkkegaard,,
14,Kenneth David Mankoff,Seniorforsker,male,,,,K. D. Mankoff,K. Mankoff,Kenneth D. Mankoff,Kenneth Mankoff,,
15,Peter Friis Møller,Seniorrådgiver,male,,,,P. F. Møller,P. Møller,Peter F. Møller,Peter Møller,,
16,Mimmi Oksman,Postdoc,female,,,,M. Oksman,M. Oksman,Mimmi Oksman,Mimmi Oksman,,
17,Sofia Ribeiro,Seniorforsker,female,,,,S. Ribeiro,S. Ribeiro,Sofia Ribeiro,Sofia Ribeiro,,
18,Anja Rutishauser,Forsker,female,,,,A. Rutishauser,A. Rutishauser,Anja Rutishauser,Anja Rutishauser,,
19,Anne Munck Solgaard,Forsker,female,,,,A. M. Solgaard,A. Solgaard,Anne M. Solgaard,Anne Solgaard,,
20,Baptiste Vandecrux,Forsker,male,,,,B. Vandecrux,B. Vandecrux,Baptiste Vandecrux,Baptiste Vandecrux,,
21,Scott Norman Williamson,Postdoc,male,,,,S. N. Williamson,S. Williamson,Scott N. Williamson,Scott Williamson,,
22,Heike Zimmermann,Postdoc,female,,,,H. Zimmermann,H. Zimmermann,Heike Zimmermann,Heike Zimmermann,,
23,Dirk Van As,,male,,,,D. V. As,D. As,Dirk V. As,Dirk As,,
24,Søren Nielsen,,male,,,,S. Nielsen,S. Nielsen,Søren Nielsen,Søren Nielsen,,
25,Allan Pedersen,,male,,,,A. Pedersen,A. Pedersen,Allan Pedersen,Allan Pedersen,,
26,Christopher L. Shields,,male,,,,C. L. Shields,C. Shields,Christopher L. Shields,Christopher Shields,,
27,Anne Solgaard,,female,,,,A. Solgaard,A. Solgaard,Anne Solgaard,Anne Solgaard,,
28,Anders Kusk,,male,,,,A. Kusk,A. Kusk,Anders Kusk,Anders Kusk,,
29,John Peter Merryman Boncori,,male,,,,J. P. M. Boncori,J. Boncori,John P. M. Boncori,John Boncori,,
30,Jørgen Dall,,male,,,,J. Dall,J. Dall,Jørgen Dall,Jørgen Dall,,
31,Laura A. Stevens,,female,,,,L. A. Stevens,L. Stevens,Laura A. Stevens,Laura Stevens,,
32,Meredith Nettles,,female,,,,M. Nettles,M. Nettles,Meredith Nettles,Meredith Nettles,,
33,James L. Davis,,male,,,,J. L. Davis,J. Davis,James L. Davis,James Davis,,
34,Timothy T. Creyts,,male,,,,T. T. Creyts,T. Creyts,Timothy T. Creyts,Timothy Creyts,,
35,Jonathan Kingslake,,male,,,,J. Kingslake,J. Kingslake,Jonathan Kingslake,Jonathan Kingslake,,
36,Tine B. Larsen,,female,,,,T. B. Larsen,T. Larsen,Tine B. Larsen,Tine Larsen,,
37,Brice Noël,,male,,,,B. Noël,B. Noël,Brice Noël,Brice Noël,,
38,Xavier Fettweis,,male,,,,X. Fettweis,X. Fettweis,Xavier Fettweis,Xavier Fettweis,,
39,Ken Kondo,,male,,,,K. Kondo,K. Kondo,Ken Kondo,Ken Kondo,,
40,Kirsty Langley,,female,,,,K. Langley,K. Langley,Kirsty Langley,Kirsty Langley,,
41,Shin Sugiyama,,male,,,,S. Sugiyama,S. Sugiyama,Shin Sugiyama,Shin Sugiyama,,
42,Twila Moon,,female,,,,T. Moon,T. Moon,Twila Moon,Twila Moon,,
43,Ted Scambos,,male,,,,T. Scambos,T. Scambos,Ted Scambos,Ted Scambos,,
44,Waleed Abdalati,,male,,,,W. Abdalati,W. Abdalati,Waleed Abdalati,Waleed Abdalati,,
45,Robert Bindschadler,,male,,,,R. Bindschadler,R. Bindschadler,Robert Bindschadler,Robert Bindschadler,,
46,Jill Gambill,,female,,,,J. Gambill,J. Gambill,Jill Gambill,Jill Gambill,,
47,Patrick Heimbach,,male,,,,P. Heimbach,P. Heimbach,Patrick Heimbach,Patrick Heimbach,,
48,Regine Hock,,female,,,,R. Hock,R. Hock,Regine Hock,Regine Hock,,
49,Ian Miller,,male,,,,I. Miller,I. Miller,Ian Miller,Ian Miller,,
50,Martin Truffer,,male,,,,M. Truffer,M. Truffer,Martin Truffer,Martin Truffer,,
51,Jakob Abermann,,male,,,,J. Abermann,J. Abermann,Jakob Abermann,Jakob Abermann,,
52,Shfaqat Abbas Khan,,male,,,,S. A. Khan,S. Khan,Shfaqat A. Khan,Shfaqat Khan,,
53,Andrew Shepherd,,male,,,,A. Shepherd,A. Shepherd,Andrew Shepherd,Andrew Shepherd,,
54,Erik Ivins,,male,,,,E. Ivins,E. Ivins,Erik Ivins,Erik Ivins,,
55,Eric Rignot,,male,,,,E. Rignot,E. Rignot,Eric Rignot,Eric Rignot,,
56,Ben Smith,,male,,,,B. Smith,B. Smith,Ben Smith,Ben Smith,,
57,Michiel van den Broeke,,male,,,,M. v. d. Broeke,M. Broeke,Michiel v. d. Broeke,Michiel Broeke,,
58,Isabella Velicogna,,female,,,,I. Velicogna,I. Velicogna,Isabella Velicogna,Isabella Velicogna,,
59,Pippa Whitehouse,,female,,,,P. Whitehouse,P. Whitehouse,Pippa Whitehouse,Pippa Whitehouse,,
60,Kate Briggs,,female,,,,K. Briggs,K. Briggs,Kate Briggs,Kate Briggs,,
61,Ian Joughin,,male,,,,I. Joughin,I. Joughin,Ian Joughin,Ian Joughin,,
62,Gerhard Krinner,,male,,,,G. Krinner,G. Krinner,Gerhard Krinner,Gerhard Krinner,,
63,Sophie Nowicki,,female,,,,S. Nowicki,S. Nowicki,Sophie Nowicki,Sophie Nowicki,,
64,Tony Payne,,male,,,,T. Payne,T. Payne,Tony Payne,Tony Payne,,
65,Nicole Schlegel,,female,,,,N. Schlegel,N. Schlegel,Nicole Schlegel,Nicole Schlegel,,
66,Geruo A,,male,,,,G. A,G. A,Geruo A,Geruo A,,
67,Cécile Agosta,,female,,,,C. Agosta,C. Agosta,Cécile Agosta,Cécile Agosta,,
68,Andreas Ahlstrøm,,male,,,,A. Ahlstrøm,A. Ahlstrøm,Andreas Ahlstrøm,Andreas Ahlstrøm,,
69,Greg Babonis,,male,,,,G. Babonis,G. Babonis,Greg Babonis,Greg Babonis,,
70,Valentina R. Barletta,,female,,,,V. R. Barletta,V. Barletta,Valentina R. Barletta,Valentina Barletta,,
71,Anders A. Bjørk,,male,,,,A. A. Bjørk,A. Bjørk,Anders A. Bjørk,Anders Bjørk,,
72,Alejandro Blazquez,,male,,,,A. Blazquez,A. Blazquez,Alejandro Blazquez,Alejandro Blazquez,,
73,Jennifer Bonin,,female,,,,J. Bonin,J. Bonin,Jennifer Bonin,Jennifer Bonin,,
74,Beata Csatho,,female,,,,B. Csatho,B. Csatho,Beata Csatho,Beata Csatho,,
75,Richard Cullather,,male,,,,R. Cullather,R. Cullather,Richard Cullather,Richard Cullather,,
76,Marcus E. Engdahl,,male,,,,M. E. Engdahl,M. Engdahl,Marcus E. Engdahl,Marcus Engdahl,,
77,Denis Felikson,,male,,,,D. Felikson,D. Felikson,Denis Felikson,Denis Felikson,,
78,Rene Forsberg,,male,,,,R. Forsberg,R. Forsberg,Rene Forsberg,Rene Forsberg,,
79,Anna E. Hogg,,female,,,,A. E. Hogg,A. Hogg,Anna E. Hogg,Anna Hogg,,
80,Hubert Gallee,,male,,,,H. Gallee,H. Gallee,Hubert Gallee,Hubert Gallee,,
81,Alex Gardner,,male,,,,A. Gardner,A. Gardner,Alex Gardner,Alex Gardner,,
82,Lin Gilbert,,female,,,,L. Gilbert,L. Gilbert,Lin Gilbert,Lin Gilbert,,
83,Noel Gourmelen,,male,,,,N. Gourmelen,N. Gourmelen,Noel Gourmelen,Noel Gourmelen,,
84,Andreas Groh,,male,,,,A. Groh,A. Groh,Andreas Groh,Andreas Groh,,
85,Brian Gunter,,male,,,,B. Gunter,B. Gunter,Brian Gunter,Brian Gunter,,
86,Edward Hanna,,male,,,,E. Hanna,E. Hanna,Edward Hanna,Edward Hanna,,
